"Country","Quintile","Technology","MaxShare","MaxShare_Sig","GrowthRate","GrowthRate_Sig","InflectionYear","InflectionYear_Sig"
"US","Q 2","smartphone",1,"**",0.15,"",2008.33375578366,"***"
"US","Q 2","internet",1,"***",0.0614601788243061,"",2000.87575572447,"***"
"US","Q 2","fuel_switch",1,"**",0.0875957476664272,".",2019.83119280184,"***"
"US","Q 2","skills",1,".",0.0975151724928651,"",2021.73959493827,"***"
"US","Q 3","hybrid",0.7,"",0.15,"",2035.92289506613,"***"
"US","Q 3","solar",0.47,"",0.15,"",2036.58178319634,"***"
"US","Q 3","renovation",0.78,".",0.0448699341341508,"",1996.14352135748,"***"
"US","Q 3","smartphone",1,"**",0.15,"",2006.12953745821,"***"
"US","Q 3","internet",1,"***",0.0501632593004472,"",1983.75348426466,"***"
"US","Q 3","fuel_switch",1,"**",0.0891872518948334,".",2022.15918486756,"***"
"US","Q 3","skills",1,"*",0.0879518665555153,"",2018.27699170971,"***"
"US","Q 4","hybrid",0.7,"",0.15,"",2035.15091966297,"***"
"US","Q 4","solar",0.47,"",0.15,"",2036.85711662822,"***"
"US","Q 4","renovation",0.78,"**",0.0505440906530778,"",1980,"***"
"US","Q 4","smartphone",0.952203136669156,"**",0.15,"",1998.75194081886,"***"
"US","Q 4","internet",1,"***",0.063217443565474,"",1980,"***"
"US","Q 4","fuel_switch",1,"**",0.0956395938785888,"",2023.90037565977,"***"
"US","Q 4","skills",1,".",0.0746390093747638,"",2013.17412543345,"***"
"US","Q 5","hybrid",0.7,".",0.15,"",2034.58313103434,"***"
"US","Q 5","solar",0.47,"",0.15,"",2036.89707220205,"***"
"US","Q 5","renovation",0.78,"***",0.15,"",1980,"**"
"US","Q 5","smartphone",0.983213429256595,"**",0.15,"",1997.24465356323,"***"
"US","Q 5","internet",1,"***",0.0959185336958737,"",1980,"***"
"US","Q 5","fuel_switch",1,"**",0.112445227826801,".",2026.70195462718,"***"
"US","Q 5","skills",1,".",0.0579485977483032,"",1997.8548572235,"***"
