"country","weighted_decile","projected_gas_2025","projected_gas_2050","projected_elec_2025","projected_elec_2050","annual_gas_bill_2025","annual_gas_bill_2050","annual_elec_bill_2025","annual_elec_bill_2050","total_annual_bill_2025","total_annual_bill_2050","gas_change_pct","elec_change_pct","bill_change_pct"
"DEU",1,13.2449599000178,11.1691275461444,2.42354848828903,4.41199232986841,883.515160343344,745.045178642919,778.268002347759,1416.81194889748,1663.09572479528,2160.89224942365,-15.6726209029185,82.046794243559,29.931922571062
"DEU",2,14.8738174461555,12.7979850922821,2.52122259365894,4.50966643523832,994.911402629101,856.058731733316,810.057324471956,1448.93526496943,1806.28666004498,2304.0260263061,-13.9562850047612,78.8682382341197,27.5559454250042
"DEU",3,15.6298287193011,13.5424617018763,2.67028649599875,4.64820917259387,1041.43271456378,902.349149523611,857.320710168069,1492.35147420667,1900.35547544546,2395.85981633277,-13.3550217018508,74.0715529797608,26.0742975348417
"DEU",4,16.9074545917595,14.8200875743348,2.8880921303285,4.86601480692362,1130.88500229545,991.267767691588,927.922020599951,1563.41352289072,2060.42031630969,2555.85122445682,-12.3458383761806,68.4854425461191,24.0451379859463
"DEU",5,18.227043445207,16.1756083782325,2.86877892341646,4.77887651567976,1219.89314863801,1082.59542448429,921.823684033673,1535.59464595467,2145.18331807167,2620.75738311539,-11.2548975545123,66.582251308112,22.1693904216642
"DEU",6,19.0899528188595,17.0385177518849,3.22343399322804,5.13353158549133,1278.87673582974,1141.44671664043,1035.97426634881,1649.85745922845,2318.32243273322,2793.87442055438,-10.7461505349968,59.256606348265,20.5127630698246
"DEU",7,20.1363577331931,18.0898100599392,3.40319860717757,5.29911816982334,1352.75353891406,1215.26717498307,1094.32995776295,1703.98041146738,2445.92030814974,2918.20425179575,-10.1634451491706,55.7099300242761,19.3090487074488
"DEU",8,18.7534140228393,16.7068663495854,3.566480436441,5.46239999908676,1262.11352865755,1124.37991373759,1147.22731795784,1757.0864644413,2408.1776298649,2880.43183707022,-10.912933883726,53.1593989209627,19.6104390867468
"DEU",9,20.2062525648561,18.1314360235854,3.6169519853245,5.48966973085227,1361.95110155785,1222.10336557395,1163.79857291322,1766.36842967591,2526.77223863859,2991.38781555119,-10.2681906732141,51.776129545711,18.3877110017216
"DEU",10,21.7468972042296,19.6720806629589,3.93263727660876,5.80535502213653,1467.96882381428,1327.91362563515,1265.732452732,1868.47291888698,2734.71782489011,3199.30403320018,-9.54074745369701,47.6198950934698,16.9884513890839
"UK",1,9.81031221743434,8.85957701583714,4.29928826311,5.2953835197916,403.921376652892,364.776621322981,915.773906680593,1127.94810594619,1319.74167894338,1492.31094674534,-9.69118189640904,23.1688408806777,13.0759883206937
"UK",2,12.3597493257766,11.4090141241794,4.50501973469596,5.50111499137757,510.441550950826,471.177425275176,959.91507477943,1172.15983931196,1470.40296427519,1642.92219318043,-7.69218838131626,22.1107856422927,11.7327857122674
"UK",3,12.1461233858883,11.0535827371937,4.47233398077165,5.59972882807637,501.04579180743,455.976852771046,952.540300464599,1192.65855442572,1453.90155116875,1648.52171916144,-8.99497406690228,25.2081989438141,13.3860623393819
"UK",4,13.709049045275,12.6165083965803,5.02735615090597,6.15475099821068,563.374304954233,518.476272526177,1069.4080854964,1309.22502487067,1633.09665309088,1827.58804047964,-7.96948530190843,22.4252034959081,11.9093617037702
"UK",5,14.4878265119891,13.2839092502119,5.07467753595372,6.3002713694386,595.668013340571,546.168869838555,1078.54738540165,1339.02916287504,1674.09057816188,1885.27351801734,-8.30985421299011,24.1511667451111,12.6147857595218
"UK",6,16.1146018224013,14.9106845606241,5.4040826603436,6.62967649382848,664.109804917989,614.494352630187,1147.20683399266,1407.3822809359,1811.19288403032,2021.95229623864,-7.47097120391537,22.6790356572184,11.636497364065
"UK",7,16.5900090719438,15.3267180824178,5.47166598723339,6.7414219950934,682.165589120013,630.2202503102,1163.62521625045,1433.6563388882,1845.36304952015,2063.85219159948,-7.61476973308225,23.2060219103768,11.8399001289284
"UK",8,17.5163547311877,16.2530637416617,5.86454300181603,7.13429900967604,718.279606366564,666.476810145069,1243.02808300158,1512.16113835495,1960.88110731758,2178.61361785025,-7.21206557478937,21.6514058719805,11.1038099005669
"UK",9,19.0100852401834,17.6153702226193,6.15481226570883,7.54965301971228,779.032144723403,721.876807559835,1300.85142274453,1595.65823423035,2080.08561633744,2317.90795845666,-7.33671101387749,22.6626043782801,11.4332958341385
"UK",10,21.4360769106604,20.0413618930964,6.64741915159381,8.04225990559726,876.26006600908,819.247158355874,1406.00583422529,1701.03074437765,2282.46744560371,2520.64892411767,-6.50639118051693,20.9831924570157,10.4352628981729
"US",1,22.5059103879412,22.0543016659957,11.179916744411,11.5137937219965,293.977120378475,288.078108548832,489.473952683047,504.09160035116,783.663791034947,792.760888489899,-2.00662276780172,2.98639949847928,1.16084187620026
"US",2,21.3879203506266,20.9363116286812,11.9765453402434,12.3104223178289,293.812409892255,287.608522616264,535.237649157678,550.158774032499,829.253718176183,838.395472527513,-2.11151301548702,2.7877569708153,1.10240739968419
"US",3,24.7006618413156,24.1879348354352,12.5583774240762,13.0026088784045,332.816660865122,325.908178366606,558.804801438636,578.571580318272,891.510087085207,905.270022012087,-2.07576221711917,3.53733161002676,1.54344130551215
"US",4,22.6233072770774,22.110580271197,12.6744899196302,13.1187213739585,283.549184311196,277.122921231659,545.456848805834,564.574706073058,828.845501619151,842.448402214691,-2.26636627262674,3.50492569835325,1.64118651412927
"US",5,20.925673416688,20.3647759111986,12.9360663257348,13.4873060825209,284.035166490086,276.421809768743,577.539859886293,602.150349959662,861.257230085124,878.218632319034,-2.68042750319404,4.26126260414557,1.96937705036543
"US",6,24.3220025974517,23.7611050919623,13.0818415807952,13.6330813375812,314.749142637308,307.490611673303,565.203180930942,589.019587976296,879.645695423432,896.187535105031,-2.30613208448649,4.21377795611937,1.88051163868158
"US",7,23.7804719182829,23.0730866556076,14.0063011156157,14.7275981511486,316.970435560383,307.541681766527,618.260498282813,650.0997012899,935.163227589955,957.311553781267,-2.97464770718663,5.14980386026898,2.36839147839361
"US",8,24.240199642932,23.5328143802567,14.7107367101205,15.4320337456534,324.643925446834,315.170062530646,643.829501116438,675.39775766911,968.391423998572,990.242200650432,-2.9182319993046,4.90320131306984,2.25639923179371
"US",9,26.9758798399848,26.0687370638173,14.3685709834171,15.2723518263179,345.352289188172,333.738809434099,619.693903764423,658.672552325301,964.519164356865,992.394547824441,-3.36279217415152,6.28998418801552,2.8900808296705
